,Lex,Example,ConstrPattern,arg_num
3651,произносить,,Snom V «CL»,2
3652,произносить,,Snom V «CL»,2
3653,произносить," [[ Приятно было , подъезжая на такси , в очередной раз произнести :"" Вот под Деревом остановите , пожалуйста""",Snom V «CL»,2
3654,произносить,"]]  И никогда шофёр не переспрашивал , настолько было ясно , что значит "" под Деревом """,Snom V «CL»,2
3655,произносить,"  Три года , как его нет",Snom V «CL»,2
3656,произносить,  И каждый раз взгляд мой спотыкается об эту,Snom V «CL»,2
3657,жертвовать," -- Виктор Павлович, зачем вы выскакиваете, как петух?   Нет в вас смирения",Snom V Sins {для + Sgen / ради + Sgen},3
3658,жертвовать,"   Я рассказал Маше о ваших успехах на заседании в Академии, когда вы за полчаса ухитрились испортить отношения с новым директором и с великим мальчишкой из отдела науки",Snom V Sins {для + Sgen / ради + Sgen},3
3659,жертвовать,"   Маша ужасно расстроилась, даже ночью не спала",Snom V Sins {для + Sgen / ради + Sgen},3
3660,жертвовать,"   Вы знаете время, в котором мы живём",Snom V Sins {для + Sgen / ради + Sgen},3
3661,жертвовать,   Вот мы начнём завтра монтировать новую установку,Snom V Sins {для + Sgen / ради + Sgen},3
3662,жертвовать,"   Я видел ваше лицо, когда вы смотрели на неё",Snom V Sins {для + Sgen / ради + Sgen},3
3663,жертвовать,   И всем этим жертвовать ради пустой фразы,Snom V Sins {для + Sgen / ради + Sgen},3
3664,пожертвовать," -- Виктор Павлович, зачем вы выскакиваете, как петух?   Нет в вас смирения",Snom V Sins {для + Sgen / ради + Sgen},3
3665,пожертвовать,"   Я рассказал Маше о ваших успехах на заседании в Академии, когда вы за полчаса ухитрились испортить отношения с новым директором и с великим мальчишкой из отдела науки",Snom V Sins {для + Sgen / ради + Sgen},3
3666,пожертвовать,"   Маша ужасно расстроилась, даже ночью не спала",Snom V Sins {для + Sgen / ради + Sgen},3
3667,пожертвовать,"   Вы знаете время, в котором мы живём",Snom V Sins {для + Sgen / ради + Sgen},3
3668,пожертвовать,   Вот мы начнём завтра монтировать новую установку,Snom V Sins {для + Sgen / ради + Sgen},3
3669,пожертвовать,"   Я видел ваше лицо, когда вы смотрели на неё",Snom V Sins {для + Sgen / ради + Sgen},3
3670,пожертвовать,   И всем этим жертвовать ради пустой фразы,Snom V Sins {для + Sgen / ради + Sgen},3
3671,достигнуть,"  Нигде в мире государство так не балует свои нефтяные компании , как в России ",Snom V Sgen,2
3672,достигнуть,"  Роялти-- твёрдая доля государства от стоимости добытой нефти достигает"" у них "" 50%",Snom V Sgen,2
3673,достигнуть,"  Ставка налога на прибыль нефтяных компаний , как правило , от 50 до 85%!  Так, без потачек , изымается в рыночном хозяйстве природная рента ",Snom V Sgen,2
3674,достигнуть,"  Производитель там тоже норовит занизить свою выручку , применяя трансфертные цены ",Snom V Sgen,2
3675,достигнуть,"  Налоговое ведомство парирует эту уловку , используя справочные цены на нефть или попросту цены мирового рынка ",Snom V Sgen,2
3676,достигнуть,"  А наш Минфин до сих пор "" не знает "", как к этой головоломке подступиться",Snom V Sgen,2
3677,достигнуть,  В наше законодательство думцами с подсказки лоббистов нефтяных компаний предусмотрительно не заложен механизм изъятия в казну рентных доходов ,Snom V Sgen,2
3678,достигнуть,"  Чтобы всё"" сходилось"", нефтяники делают их"" невидимыми""",Snom V Sgen,2
3679,достигнуть,  Вот так и удваиваются за год миллиардные состояния ,Snom V Sgen,2
3680,достигать,"  Нигде в мире государство так не балует свои нефтяные компании , как в России ",Snom V Sgen,2
3681,достигать,"  Роялти-- твёрдая доля государства от стоимости добытой нефти достигает"" у них "" 50%",Snom V Sgen,2
3682,достигать,"  Ставка налога на прибыль нефтяных компаний , как правило , от 50 до 85%!  Так, без потачек , изымается в рыночном хозяйстве природная рента ",Snom V Sgen,2
3683,достигать,"  Производитель там тоже норовит занизить свою выручку , применяя трансфертные цены ",Snom V Sgen,2
3684,достигать,"  Налоговое ведомство парирует эту уловку , используя справочные цены на нефть или попросту цены мирового рынка ",Snom V Sgen,2
3685,достигать,"  А наш Минфин до сих пор "" не знает "", как к этой головоломке подступиться",Snom V Sgen,2
3686,достигать,  В наше законодательство думцами с подсказки лоббистов нефтяных компаний предусмотрительно не заложен механизм изъятия в казну рентных доходов ,Snom V Sgen,2
3687,достигать,"  Чтобы всё"" сходилось"", нефтяники делают их"" невидимыми""",Snom V Sgen,2
3688,достигать,  Вот так и удваиваются за год миллиардные состояния ,Snom V Sgen,2
3689,прервать, ,Snom V Sacc Sins,3
3690,прервать,,Snom V Sacc Sins,3
3691,прервать,,Snom V Sacc Sins,3
3692,прервать,"На этом старик прервал свой рассказ сердобольным замечанием в адрес кочегара, с таким трудом открывшего свою бутылку",Snom V Sacc Sins,3
3693,ударять,St,Snom V Sacc,2
3694,ударять," [[- Jerome, избегая моего взгляда , быстро подошёл ко мне и схватил за руку ; но только что я почувствовал прикосновение его руки , мне сделалось так дурно , что я , не помня себя от злобы , вырвал руку и из всех моих детских сил ударил его",Snom V Sacc,2
3695,ударять,]],Snom V Sacc,2
3696,отразить,"  Оно лежало прямо подо мной, окружённое нежной и курчавой, как шерсть животного, травой",Snom отразить Sacc как Snom,4
3697,отразить,"   Недалеко от берега из воды высовывалась небольшая гряда оранжевых скал, чётко, как в бинокле, отражённая в воде",Snom отразить Sacc как Snom,4
3698,отразить,"   Большие ломти снега, так же чётко отражённые в воде, легко стояли на ней",Snom отразить Sacc как Snom,4
3699,стремиться,"В"" демократической "" картине ведущее место занимал Его Величество Запад , у которого русский хам должен был смиренно учиться и не сметь возражать ",Snom V Vinf,2
3700,стремиться,"  Были также "" борцы за свободу Ичкерии "" и "" русские агрессоры """,Snom V Vinf,2
3701,стремиться," [[ В"" патриотической "" картине присутствовала Великая духовность русского народа , ненавистный Запад , стремящийся эту Духовность погубить , предварительно грязно над ней надругавшись, берёзки, лики святых , былинные богатыри , межконтинентальная баллистическая ракета РС- 20 и т",Snom V Vinf,2
3702,стремиться, д,Snom V Vinf,2
3703,стремиться," Сталин и Жуков ( насчёт Ленина между различными категориями "" патриотов "" согласия не было )",Snom V Vinf,2
3704,стремиться,]],Snom V Vinf,2
3705,полюбоваться," "" Вы находите моё поведение неприличным ,-- казалось , говорило её лицо -- всё равно : я знаю , вы мной любуетесь""",Snom V Sins,2
3706,задать,"[[ Он не задал ни одного вопроса, не одобрил и не осудил доклад Крымова",Snom V вопрос,2
3707,задать,]],Snom V вопрос,2
3708,задавать,"[[ Он не задал ни одного вопроса, не одобрил и не осудил доклад Крымова",Snom V вопрос,2
3709,задавать,]],Snom V вопрос,2
3710,вопрос,"[[ Он не задал ни одного вопроса, не одобрил и не осудил доклад Крымова",Snom V вопрос,2
3711,вопрос,]],Snom V вопрос,2
3712,внимать," Потом он стоял в большом холле и, раскрыв рот, внимал спору ученых демонов о трансформации зла",Snom V Sdat,2
3713,внимать," Неприлично было слушать чужой разговор, но ученые чуть ли не кричали друг на друга, не делая из беседы никакой тайны",Snom V Sdat,2
3714,внимать," Напротив, они явно были заинтересованы в публике",Snom V Sdat,2
3715,внимать," «Да вам своими темами, -- шумел ученый, размахивавший желтой кожаной папкой, -- тешить выживших из ума ветеранов на сборищах у Броккеновой горы!  Вы все еще бредите кинжалами, ядами, чумой",Snom V Sdat,2
3716,внимать, Но костры-то давно отгорели на площадях! ,Snom V Sdat,2
3717,внимать,,Snom V Sdat,2
3718,внимать,"» Его оппонент тоже сердился, однако поглядывал на спорщика несколько свысока, как на модника и пустобреха",Snom V Sdat,2
3719,внимать," «Ну да, ну да, -- говорил он, -- а вы-то что же?  Вы-то далеко ли уехали? » ",Snom V Sdat,2
3720,путать," -- Да, Шура!  Всё забываю ",Snom V Sacc с + Sins,3
3721,путать,"  Всё путаю с тем Васей , помнишь?  Вася-то был, большой такой , старшиной-то работал",Snom V Sacc с + Sins,3
3722,путать,,Snom V Sacc с + Sins,3
3723,путать,,Snom V Sacc с + Sins,3
3724,обеспечивать,"Совершенствуя алгоритмы обработки , мы предполагаем « статичность »,« пассивность » системы памяти ",Snom V Sacc,2
3725,обеспечивать," [[ Память( совокупная память всей системы ) должна стать активной , способствовать процессу хотя бы на основе вероятностных предположений , должна реализовать встречные предложения , способные обеспечить снижение среднего времени выполнения запросов пользователей",Snom V Sacc,2
3726,обеспечивать,]] ,Snom V Sacc,2
3727,рассердиться,  Любовь к животным была тоже выдающейся чертой этого странного человека ,Snom V на + Sacc,2
3728,рассердиться,"  Бывали целые периоды , когда наше скромное жильё положительно превращалось в лечебницу ",Snom V на + Sacc,2
3729,рассердиться,"  Целую неделю он возился с замерзшей вороной , которую вернул к жизни , а больную лошадь водил в поводу на прогулку по два раза в день , не смущаясь насмешками",Snom V на + Sacc,2
3730,рассердиться,"  И замечательно , что , чем более он сердился на человека , тем более нежности отдавал животным",Snom V на + Sacc,2
3731,рассердиться,"  В конце концов , пессимист и циник ( в такие периоды ) по отношению к "" царю природы ""-- он превозносил её меньших тварей ",Snom V на + Sacc,2
3732,рассердиться,"  Он не только признавал в них ум, память, соображение, совесть , но даже считал эти стороны интеллекта исключительно их принадлежностью , совершенно чуждой человеку",Snom V на + Sacc,2
3733,рассердиться,,Snom V на + Sacc,2
3734,рассердиться,,Snom V на + Sacc,2
3735,рассердиться,"  При этом он становился дьявольски , невыносимо остроумен и саркастичен , и порой , когда мне некуда было скрыться в периоды его мизантропии , я совершенно изнемогал под градом его парадоксов и начинал , право же , чувствовать себя действительно ниже всякого скота , в то время , как какая-нибудь собака со спиной , перешибленной поленом досужего бездельника , казалась мне чуть не сознательным страдальцем и философом ",Snom V на + Sacc,2
3736,рассердиться,"  Впрочем , когда эти припадки проходили , он опять оживал , опять парил под небесами и декламировал "" мировые симфонии """,Snom V на + Sacc,2
3737,рассердиться,  В то время он тоже получил место на прииске чем-то вроде смотрителя материального склада ,Snom V на + Sacc,2
3738,рассердиться,,Snom V на + Sacc,2
3739,рассердиться,,Snom V на + Sacc,2
3740,рассердиться,  В практических вопросах я всегда имел преимущество ,Snom V на + Sacc,2
3741,рассердиться,  Я нашёл ему эту должность и уговорил принять её ,Snom V на + Sacc,2
3742,рассердиться,"  Он пассивно подчинился , и мы отправились в путь , как только получили аванс ",Snom V на + Sacc,2
3743,рассердиться,  Обстоятельства наши были не особенно блестящи ,Snom V на + Sacc,2
3744,рассказать,  Потом Владимир Галактионович рассказал о писателе Леонтьеве-Щеглове,Snom V {о + Sloc / про + Sacc},2
3745,рассказать,  Тот вдруг ни с того ни с сего вообразил себя специалистом по Гоголю,Snom V {о + Sloc / про + Sacc},2
3746,рассказать,"  Научился варить макароны точно таким же манером, как варил их в Италии Гоголь",Snom V {о + Sloc / про + Sacc},2
3747,рассказать,  Откуда-то добыл достоверный рецепт и каждый год в день рождения Гоголя приглашал к себе друзей на« гоголевские макароны»,Snom V {о + Sloc / про + Sacc},2
3748,рассказать, ,Snom V {о + Sloc / про + Sacc},2
3749,успевать,"  Когда в 2003 году в Silicon Integrated Systems приняли решение о выделении в самостоятельную компанию своего подразделения по разработке графических процессоров , многие сомневались в правильности этого шага ",Snom V Vinf,2
3750,успевать,"  Графические процессоры SiS только начали завоёвывать признание , но всё ещё оставались в тени наборов системной логики для ПК , успехи которых на тот момент были намного весомее ",Snom V Vinf,2
3751,успевать,"  Молодую компанию , получившую название XGI Technology, ожидала серьёзная конкуренция со "" старожилами "", американской nVidia и канадской ATI",Snom V Vinf,2
3752,успевать,"  Кроме того , Intel со своими интегрированными чипсетами уже успела основательно пошатнуть позиции дискретных графических решений класса low- end",Snom V Vinf,2
3753,успевать,  Поэтому будущее XGI представлялось отнюдь не безоблачным,Snom V Vinf,2
3754,успевать, ,Snom V Vinf,2
3755,успеть,"  Когда в 2003 году в Silicon Integrated Systems приняли решение о выделении в самостоятельную компанию своего подразделения по разработке графических процессоров , многие сомневались в правильности этого шага ",Snom V Vinf,2
3756,успеть,"  Графические процессоры SiS только начали завоёвывать признание , но всё ещё оставались в тени наборов системной логики для ПК , успехи которых на тот момент были намного весомее ",Snom V Vinf,2
3757,успеть,"  Молодую компанию , получившую название XGI Technology, ожидала серьёзная конкуренция со "" старожилами "", американской nVidia и канадской ATI",Snom V Vinf,2
3758,успеть,"  Кроме того , Intel со своими интегрированными чипсетами уже успела основательно пошатнуть позиции дискретных графических решений класса low- end",Snom V Vinf,2
3759,успеть,  Поэтому будущее XGI представлялось отнюдь не безоблачным,Snom V Vinf,2
3760,успеть, ,Snom V Vinf,2
3761,оторваться,  Мастерским виражом он оторвался от невидимой погони и задумался,Snom оторваться от + Sgen Sins,3
3762,оторваться,"   У кого спросить, кто такой Георгий Валентинович?",Snom оторваться от + Sgen Sins,3
3763,разобрать,  Сухая речка большим полукругом огибает Блудово болото,Snom V Sacc,2
3764,разобрать,"  На одной стороне полукруга воет собака, на другой-- воет волк",Snom V Sacc,2
3765,разобрать,"  А ветер нажимает на деревья и разносит их вой и стон, вовсе не зная, кому он служит",Snom V Sacc,2
3766,разобрать,"  Ему всё равно, кто воет,-- дерево, собака-- друг человека, или волк-- злейший враг его,-- лишь бы он выл",Snom V Sacc,2
3767,разобрать,  Ветер предательски доносит волку жалобный вой покинутой человеком собаки,Snom V Sacc,2
3768,разобрать,"  И Серый, разобрав живой стон собаки от стона деревьев, тихонечко выбрался из завалов и с насторожённым единственным ухом и прямой половинкой хвоста поднялся на взлобок",Snom V Sacc,2
3769,разобрать,"  Тут, определив место воя возле Антиповой сторожки, с холма прямо на широких махах пустился в том направлении",Snom V Sacc,2
3770,разобрать, ,Snom V Sacc,2
3771,разбирать,  Сухая речка большим полукругом огибает Блудово болото,Snom V Sacc,2
3772,разбирать,"  На одной стороне полукруга воет собака, на другой-- воет волк",Snom V Sacc,2
3773,разбирать,"  А ветер нажимает на деревья и разносит их вой и стон, вовсе не зная, кому он служит",Snom V Sacc,2
3774,разбирать,"  Ему всё равно, кто воет,-- дерево, собака-- друг человека, или волк-- злейший враг его,-- лишь бы он выл",Snom V Sacc,2
3775,разбирать,  Ветер предательски доносит волку жалобный вой покинутой человеком собаки,Snom V Sacc,2
3776,разбирать,"  И Серый, разобрав живой стон собаки от стона деревьев, тихонечко выбрался из завалов и с насторожённым единственным ухом и прямой половинкой хвоста поднялся на взлобок",Snom V Sacc,2
3777,разбирать,"  Тут, определив место воя возле Антиповой сторожки, с холма прямо на широких махах пустился в том направлении",Snom V Sacc,2
3778,разбирать, ,Snom V Sacc,2
3779,напряженный,"  Они переговаривались вроде беззаботно , хотя лица обоих были заметно напряжены , оба украдкой поглядывали на командира , ждали , что скажет он",напрячь S,1
3780,напряженный,"  Несколько минут Гусаков изучал карту , и его беспокойство усиливалось -- ни одного знакомого ориентира на карте не было ",напрячь S,1
3781,напряженный,"  Ни луга , куда они приземлились, ни леса , который перешли , ни дороги , ни поля",напрячь S,1
3782,напряженный,  Явно не тот лист карты ,напрячь S,1
3783,напряженный,  Но попасть им следовало именно в эти нанесённые на карту места ,напрячь S,1
3784,напряженный,  В этом и состояла их задача ,напрячь S,1
3785,заливать, Микроскопическое исследование,Snom V Sacc в + Sacc,3
3786,заливать, Мышей умерщвляли декомпозицией шейных позвонков,Snom V Sacc в + Sacc,3
3787,заливать," Для исследования методами иммуногистохимии, световой и электронной микроскопии отбирали образцы печени, селезенки, брюшной стенки и брыжейки от 3-5 животных",Snom V Sacc в + Sacc,3
3788,заливать, Сроки забора образцов для каждого вида исследований приведены при описании соответствующих результатов,Snom V Sacc в + Sacc,3
3789,заливать," Образцы фиксировали 4% раствором параформальдегида, подвергали стандартной гистологической обработке и заливали в парафин",Snom V Sacc в + Sacc,3
3790,заливать, Срезы окрашивали гематоксилином и эозином,Snom V Sacc в + Sacc,3
3791,заливать, Иммуногистохимическое выявление инфицированных клеток на парафиновых срезах проводили антителами человека (исходный титр 1: 10 000) в разведении 1: 200,Snom V Sacc в + Sacc,3
3792,заливать," Визуализацию антигенов проводили с помощью полиспецифичных биотинилированных вторичных антител, конъюгированных с иммунопероксидазой, используя DAB- и VIР-наборы («Vector Lab",Snom V Sacc в + Sacc,3
3793,заливать,"», США)",Snom V Sacc в + Sacc,3
3794,соврать,"  Может быть , не врут и армянские источники того времени , в которых сообщается , что при Омаре правителем Иерусалима был назначен некий еврей ?  Если свести все эти детали воедино, вырисовывается неожиданная картина : вместо привычной ненависти между арабами и евреями , между мусульманами и иудеями , возникает близость одинаковых мессианских чаяний и надежд !",Snom V,1
3795,вмешаться,"  Насколько я поняла ( пусть Камелия меня поправит , если что), там речь шла всего лишь о том , что в ситуацию вмешались посторонние обстоятельства ",Snom V в + Sacc,2
3796,вмешаться,"  Профессия была получена хорошая , вложено время и старание , а результат -- тот же упомянутый Вами « пшик»",Snom V в + Sacc,2
3797,вмешаться,"  В общем , человек располагает",Snom V в + Sacc,2
3798,вмешаться,,Snom V в + Sacc,2
3799,вмешаться,,Snom V в + Sacc,2
3800,вмешаться, ,Snom V в + Sacc,2
3801,вмешиваться,"  Насколько я поняла ( пусть Камелия меня поправит , если что), там речь шла всего лишь о том , что в ситуацию вмешались посторонние обстоятельства ",Snom V в + Sacc,2
3802,вмешиваться,"  Профессия была получена хорошая , вложено время и старание , а результат -- тот же упомянутый Вами « пшик»",Snom V в + Sacc,2
3803,вмешиваться,"  В общем , человек располагает",Snom V в + Sacc,2
3804,вмешиваться,,Snom V в + Sacc,2
3805,вмешиваться,,Snom V в + Sacc,2
3806,вмешиваться, ,Snom V в + Sacc,2
3807,ударять,"[[ И вдруг неожиданно свет ударил мне в глаза, и новый шквал аплодисментов обрушился на наши головы",Snom V в + Sacc Sdat,3
3808,ударять," ]]  Оказывается, Евгений Дмитриевич снял с нас картонный круп лошади, и мы предстали перед зрителями в своих высоких рыжих чулках, под масть лошади",Snom V в + Sacc Sdat,3
3809,морщиться, Иван мучительно поморщился ,Snom V,1
3810,поморщиться, Иван мучительно поморщился ,Snom V,1
3811,вдохновлять,"он просыпался вдруг свежим, с нечаянной бодростью -- много содействовала тому погода-- и , открыв форточку , начинал в ритме размахивать руками и сгибаться и разгибаться в поясе ",Snom V Sacc,2
3812,вдохновлять,  Лена и Наташка вставали на четверть часа раньше,Snom V Sacc,2
3813,вдохновлять,"  Иногда с раннего утра , чтобы проводить Наташку в школу , являлась Вера Лазаревна ",Snom V Sacc,2
3814,вдохновлять,"  Лежа с закрытыми глазами , Дмитриев слышал , как женщины шаркали , двигались , переговаривались громким шёпотом , гремели посудой , Наташка ворчала :"" Опять каша!  Неужели у вас фантазии нет?""  Лена реагировала с привычным утренним гневом :"" Я тебе покажу фантазию !  Сядь как следует !""-- а тёща бубнила :"" Если б другие дети имели то , что имеешь ты",Snom V Sacc,2
3815,вдохновлять,,Snom V Sacc,2
3816,вдохновлять,,Snom V Sacc,2
3817,вдохновлять,"""  Это была заведомая ложь ",Snom V Sacc,2
3818,вдохновлять,  Другие дети имели всё то же самое и даже гораздо больше ,Snom V Sacc,2
3819,вдохновлять,"  Но в те утра , когда Дмитриев просыпался , охваченный невразумительным оптимизмом , его ничто не раздражало ",Snom V Sacc,2
3820,вдохновлять,"  Он смотрел с высоты пятого этажа на сквер с фонтаном , улицу, столб с таблицей троллейбусной остановки , возле которого сгущалась толпа , и дальше он видел парк, многоэтажные дома на горизонте и небо",Snom V Sacc,2
3821,вдохновлять,"  На балконе соседнего дома, очень близко, в двадцати метрах напротив, появлялась молодая некрасивая женщина в очках , в коротком , неряшливо подпоясанном домашнем халате ",Snom V Sacc,2
3822,вдохновлять,"  Она присаживалась на корточки и что-то делала с цветами , стоявшими на балконе в горшках ",Snom V Sacc,2
3823,вдохновлять,"  Она их трогала , поглаживала , заглядывала под листочки , а некоторые листочки поднимала и нюхала",Snom V Sacc,2
3824,вдохновлять,"  Оттого , что она садилась на корточки , халат раскрывался , и становились видны её крупные синевато-белые колени ",Snom V Sacc,2
3825,вдохновлять,"  Лицо женщины было такого же тона , как колени, синевато-белое",Snom V Sacc,2
3826,вдохновлять,"  Дмитриев наблюдал за женщиной , сгибаясь и разгибаясь в поясе ",Snom V Sacc,2
3827,вдохновлять,  Он смотрел на неё из-за занавески ,Snom V Sacc,2
3828,вдохновлять,"  Непонятно почему -- женщина ему совсем не нравилась ,-- но тайное наблюдение за ней вдохновляло его",Snom V Sacc,2
3829,вдохновлять,"  Он думал о том , что ещё не всё потеряно , что тридцать семь -- это не сорок семь и не пятьдесят семь и он ещё может кое-чего добиться",Snom V Sacc,2
3830,взволновать,"  Далее он пояснил , что его и всех членов РСПП волнует не столько нынешняя ситуация с самим"" ЮКОСом"", который"" к нынешнему часу понял , что надо играть по правилам "", а ситуация вокруг этого ",Snom V Sacc,2
3831,взволновать,"  И дело даже не в том , что страна и"" ЮКОС"", если верить оценкам экспертов , уже потеряли на бирже 7 млрд долл",Snom V Sacc,2
3832,взволновать,", а золотовалютные резервы России упали на 1 млрд долл",Snom V Sacc,2
3833,взволновать,", но главное -- назревающая"" деприватизация"" в стране , последствия которой, по его словам "" даже могут привести к гражданской войне """,Snom V Sacc,2
3834,взволновать,"  В качестве примера Вольский зачитал призыв из анонимной листовки , распространённой в регионах , о том , что пора"" свернуть шею олигархам"" и"" вернуть всем имущество , приватизированное до 2000 г",Snom V Sacc,2
3835,взволновать,", вплоть до квартир """,Snom V Sacc,2
3836,взволновать,"  Кроме того , РСПП тревожит судьба малого и среднего бизнеса , поскольку в судах находится 41 тыс",Snom V Sacc,2
3837,взволновать," дел о банкротстве компаний , большинство из которых , полагает Вольский, заказные",Snom V Sacc,2
3838,обеспечивать,составами на данном участке свидетельствует о возможности использования локомотивных бригад и с нечётными поездами от Челябинска до Кропачева ,Snom V Sacc,2
3839,обеспечивать,  Введение маршрута Челябинск-- Кропачево позволит полностью исключить следование бригад пассажирами,Snom V Sacc,2
3840,обеспечивать,  В результате значительно улучшится использование машинистов и помощников ,Snom V Sacc,2
3841,обеспечивать," [[ Такой режим работы позволит обеспечить возрастающие объёмы перевозок , высвобождая каждой поездкой по две локомотивные бригады депо Златоуст , которые, в свою очередь , можно использовать для дополнительной работы на участке ",Snom V Sacc,2
3842,обеспечивать,]] ,Snom V Sacc,2
3843,обеспокоить,"  Случались, конечно, трения и конфликты",Snom V Sacc,2
3844,обеспокоить,   Лиза Сокурова занималась облучением спор папоротника,Snom V Sacc,2
3845,обеспокоить,"   Молодой специалист, она хотела уяснить себе смысл и значение своей работы",Snom V Sacc,2
3846,обеспокоить,   Спросила у своего руководителя доктора Менке,Snom V Sacc,2
3847,обеспокоить,"   Подняв брови, он ответил слегка удивлённо: ""Для вас это неважно",Snom V Sacc,2
3848,обеспокоить,   Вы старший лаборант и должны выполнять мои указания,Snom V Sacc,2
3849,обеспокоить,"   Чем мы занимаемся -- пусть это вас не беспокоит""",Snom V Sacc,2
3850,вдохновлять," В декабре американские спутники-шпионы зафиксировали активность на ядерном полигоне в Покаране и пригрозили Индии ввести в действие так называемую поправку Гленна 1994 года, которая предполагает разрыв отношений с любым государством (кроме 5 ядерных держав), проводящим ядерные испытания",Snom V Sacc,2
3851,вдохновлять," В случае производства ядерных испытаний Вашингтон обещает также воздействовать на Всемирный банк, от которого Индия ежегодно получает помощь в $2 млрд",Snom V Sacc,2
3852,вдохновлять," Разумеется, перспективы ухудшения отношений Индии с США вдохновляют Пакистан",Snom V Sacc,2
3853,вдохновлять," На заявления Дели об усилении своего военного потенциала и возможном проведении ядерных испытаний Бхутто ответила, что Пакистан не может не реагировать на действия Индии",Snom V Sacc,2
3854,вдохновлять, Коса нашла на камень,Snom V Sacc,2
3855,полюбоваться, -- Так я и знал,Snom V Sins,2
3856,полюбоваться,"  Не было у вас в жизни серьёзных горестей , испытаний ",Snom V Sins,2
3857,полюбоваться,"  А человек , сквозь них не прошедший , ещё не совсем человек , а только залог его, куколка, хризалида ",Snom V Sins,2
3858,полюбоваться," "" Я-то вынесла бы правду! "" Это вы потому так себя обольщаете , что у вас сильное, лёгкое, послушное тело , стройные ноги , которыми , кстати , я всегда любуюсь ",Snom V Sins,2
3859,полюбоваться,  Каждый шаг-- радость,Snom V Sins,2
3860,полюбоваться,  Когда-то и я был таким,Snom V Sins,2
3861,полюбоваться,"  Да-да , не смейтесь ",Snom V Sins,2
3862,полюбоваться,"  Высоким не был , а стройным, лёгким, подвижным -- был",Snom V Sins,2
3863,полюбоваться,"  Не дай бог вам понять , что это значит , когда каждый шаг стоит усилия ",Snom V Sins,2
3864,полюбоваться,"  Дойти до угла , свернуть направо, добраться до палаты ",Snom V Sins,2
3865,полюбоваться,,Snom V Sins,2
3866,полюбоваться,,Snom V Sins,2
3867,полюбоваться,"  И не просто добраться , но и помочь больным",Snom V Sins,2
3868,полюбоваться,"  Знаю , они меня не очень-то жалуют , называют хромым чёртом ",Snom V Sins,2
3869,полюбоваться,"  А мне, несмотря на это , надо вдуматься в каждого , отнестись к нему с полным вниманием , не позируя , не выставляя себя ",Snom V Sins,2
3870,полюбоваться,"  Станиславский говорил , что режиссёр должен умереть в актёре ",Snom V Sins,2
3871,полюбоваться,  Так же вот врач должен умереть в пациенте ,Snom V Sins,2
3872,полюбоваться,  Задачи все нешуточные,Snom V Sins,2
3873,полюбоваться,  Рядом с ними как-то несерьёзно выглядит ваш вопрос о праве на правду ,Snom V Sins,2
3874,пристать,"  Как только бросили якорь , мы сели в турецкую лодчонку и отправились на берег , не пренебрегая обычным в Босфоре удовольствием попасть в волну , оставляемую проходящим пароходом , и бешено покачаться в течение нескольких секунд ",Snom V {ADV / PRкуда + Sx},2
3875,пристать,"  В Галате, греческой части города , куда мы пристали , царило обычное оживление ",Snom V {ADV / PRкуда + Sx},2
3876,пристать,"  Но как только мы перешли широкий деревянный мост , переброшенный через Золотой Рог , и очутились в Стамбуле , нас поразила необычная тишина и запустение ",Snom V {ADV / PRкуда + Sx},2
3877,пристать,"  Многие магазины были заперты , кафе пусты , на улицах встречались почти исключительно старики и дети ",Snom V {ADV / PRкуда + Sx},2
3878,пристать,  Мужчины были на Четалдже ,Snom V {ADV / PRкуда + Sx},2
3879,пристать,  Только что пришло известие о падении Скутари ,Snom V {ADV / PRкуда + Sx},2
