,sentence,word,role,index
2789,"Во время так называемой «дискуссии о фонеме», происходившей на страницах журнала «Известия Академии наук СССР. Отделение литературы и языка» в 1952—1953 годах, А. А. Реформатский заметил, что «для Л. В. Щербы… связь фонем с морфологией» была обязательна.",отделение,place,15.0
2790,"Во время так называемой «дискуссии о фонеме», происходившей на страницах журнала «Известия Академии наук СССР. Отделение литературы и языка» в 1952—1953 годах, А. А. Реформатский заметил, что «для Л. В. Щербы… связь фонем с морфологией» была обязательна.",реформатский,agent,24.0
2791,"Во время так называемой «дискуссии о фонеме», происходившей на страницах журнала «Известия Академии наук СССР. Отделение литературы и языка» в 1952—1953 годах, А. А. Реформатский заметил, что «для Л. В. Щербы… связь фонем с морфологией» была обязательна.",щерба,posessor,30.0
2792,"Во время так называемой «дискуссии о фонеме», происходившей на страницах журнала «Известия Академии наук СССР. Отделение литературы и языка» в 1952—1953 годах, А. А. Реформатский заметил, что «для Л. В. Щербы… связь фонем с морфологией» была обязательна.",связь,subj_with_properties,31.0
2794,"Позднее в рамках той же дискуссии М. В. Пановым была высказана мысль о том, что Л. В. Щерба не избежал обращения к морфемному составу слов, свойственного МФШ, а также признал в «Фонетике французского языка» возможность для двух фонем совпадать в одном звуковом варианте и возможность для фонемы иметь нуль звука в качестве одного из аллофонов.",мысль,patient,11.0
2795,"Позднее в рамках той же дискуссии М. В. Пановым была высказана мысль о том, что Л. В. Щерба не избежал обращения к морфемному составу слов, свойственного МФШ, а также признал в «Фонетике французского языка» возможность для двух фонем совпадать в одном звуковом варианте и возможность для фонемы иметь нуль звука в качестве одного из аллофонов.",щерба,agent,17.0
2796,"Позднее в рамках той же дискуссии М. В. Пановым была высказана мысль о том, что Л. В. Щерба не избежал обращения к морфемному составу слов, свойственного МФШ, а также признал в «Фонетике французского языка» возможность для двух фонем совпадать в одном звуковом варианте и возможность для фонемы иметь нуль звука в качестве одного из аллофонов.",обращение,patient,20.0
2797,"Позднее в рамках той же дискуссии М. В. Пановым была высказана мысль о том, что Л. В. Щерба не избежал обращения к морфемному составу слов, свойственного МФШ, а также признал в «Фонетике французского языка» возможность для двух фонем совпадать в одном звуковом варианте и возможность для фонемы иметь нуль звука в качестве одного из аллофонов.",состав,goal,23.0
2798,"Позднее в рамках той же дискуссии М. В. Пановым была высказана мысль о том, что Л. В. Щерба не избежал обращения к морфемному составу слов, свойственного МФШ, а также признал в «Фонетике французского языка» возможность для двух фонем совпадать в одном звуковом варианте и возможность для фонемы иметь нуль звука в качестве одного из аллофонов.",мфш,patient,26.0
2800,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",панов,agent,3.0
2801,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",щерба,agent,15.0
2802,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",жизнь,theme,20.0
2803,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",трактовка,patient,22.0
2804,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",варьирование,theme,23.0
2805,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",идея,theme,28.0
2806,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",панов,posessor,3.0
2807,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",изменение,patient,37.0
2808,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",щерба,posessor,15.0
2809,"Позднее М. В. Панов указывал также, что в первой академической «Грамматике русского языка», над которой Щерба работал в последние годы жизни, предложена трактовка варьирования фонемы /а/, близкая к идеям МФШ; по мнению М. В. Панова, здесь отразилось изменение взглядов Л. В. Щербы, не успевшего соответствующим образом обновить другие положения в тексте грамматики.",грамматика,posessor,10.0
2810,"А. А. Реформатский отмечает слабость интереса ЛФШ к теории позиций, детально разработанной в рамках МФШ, обусловленную отрицанием нейтрализации фонем в позициях неразличения и представлением нейтрализации как мены фонем.",реформатский,agent,2.0
2811,"А. А. Реформатский отмечает слабость интереса ЛФШ к теории позиций, детально разработанной в рамках МФШ, обусловленную отрицанием нейтрализации фонем в позициях неразличения и представлением нейтрализации как мены фонем.",лфш,posessor,6.0
2812,"А. А. Реформатский отмечает слабость интереса ЛФШ к теории позиций, детально разработанной в рамках МФШ, обусловленную отрицанием нейтрализации фонем в позициях неразличения и представлением нейтрализации как мены фонем.",теория,theme,8.0
2813,"А. А. Реформатский отмечает слабость интереса ЛФШ к теории позиций, детально разработанной в рамках МФШ, обусловленную отрицанием нейтрализации фонем в позициях неразличения и представлением нейтрализации как мены фонем.",мфш,posessor,14.0
2814,"А. А. Реформатский отмечает слабость интереса ЛФШ к теории позиций, детально разработанной в рамках МФШ, обусловленную отрицанием нейтрализации фонем в позициях неразличения и представлением нейтрализации как мены фонем.",нейтрализация,theme,17.0
2815,"А. А. Реформатский отмечает слабость интереса ЛФШ к теории позиций, детально разработанной в рамках МФШ, обусловленную отрицанием нейтрализации фонем в позициях неразличения и представлением нейтрализации как мены фонем.",фонема,theme,18.0
2816,"А. А. Реформатский отмечает слабость интереса ЛФШ к теории позиций, детально разработанной в рамках МФШ, обусловленную отрицанием нейтрализации фонем в позициях неразличения и представлением нейтрализации как мены фонем.",нейтрализация,patient,17.0
2817,"Возведение звуковых единиц слабых позиций, фонетически отличающихся от единиц сильных позиций, «к ближайшим по фонетическому качеству фонемным эталонам» представляется сторонникам МФШ «подтягиванием», что подтверждается возможностью «подтянуть» редуцированные гласные русского языка как к фонеме /a/, так и к /ы/.",возведение,patient,0.0
2818,"Возведение звуковых единиц слабых позиций, фонетически отличающихся от единиц сильных позиций, «к ближайшим по фонетическому качеству фонемным эталонам» представляется сторонникам МФШ «подтягиванием», что подтверждается возможностью «подтянуть» редуцированные гласные русского языка как к фонеме /a/, так и к /ы/.",единица,patient,2.0
2819,"Возведение звуковых единиц слабых позиций, фонетически отличающихся от единиц сильных позиций, «к ближайшим по фонетическому качеству фонемным эталонам» представляется сторонникам МФШ «подтягиванием», что подтверждается возможностью «подтянуть» редуцированные гласные русского языка как к фонеме /a/, так и к /ы/.",единица,starting_point,2.0
2821,"Возведение звуковых единиц слабых позиций, фонетически отличающихся от единиц сильных позиций, «к ближайшим по фонетическому качеству фонемным эталонам» представляется сторонникам МФШ «подтягиванием», что подтверждается возможностью «подтянуть» редуцированные гласные русского языка как к фонеме /a/, так и к /ы/.",качество,theme,15.0
2822,"Возведение звуковых единиц слабых позиций, фонетически отличающихся от единиц сильных позиций, «к ближайшим по фонетическому качеству фонемным эталонам» представляется сторонникам МФШ «подтягиванием», что подтверждается возможностью «подтянуть» редуцированные гласные русского языка как к фонеме /a/, так и к /ы/.",эталон,theme,17.0
2823,"Возведение звуковых единиц слабых позиций, фонетически отличающихся от единиц сильных позиций, «к ближайшим по фонетическому качеству фонемным эталонам» представляется сторонникам МФШ «подтягиванием», что подтверждается возможностью «подтянуть» редуцированные гласные русского языка как к фонеме /a/, так и к /ы/.",сторонник,recipient,19.0
2824,"К тому же, по А. А. Реформатскому, это приводит к отрыву единицы слабой позиции от единицы сильной и вообще от ряда позиционных чередований.",отрыв,goal,10.0
2825,"К тому же, по А. А. Реформатскому, это приводит к отрыву единицы слабой позиции от единицы сильной и вообще от ряда позиционных чередований.",единица,starting_point,11.0
2826,"К тому же, по А. А. Реформатскому, это приводит к отрыву единицы слабой позиции от единицы сильной и вообще от ряда позиционных чередований.",ряд,starting_point,20.0
2828,"Подобный подход критикуется Реформатским как «гадание на кофейной гуще об артикуляционно-акустическом „сходстве“ звучаний», далёкое от фонологии и представляющее собой «испорченную добрую старую фонетику».",подход,patient,1.0
2829,"Подобный подход критикуется Реформатским как «гадание на кофейной гуще об артикуляционно-акустическом „сходстве“ звучаний», далёкое от фонологии и представляющее собой «испорченную добрую старую фонетику».",фонология,starting_point,15.0
2830,Сходным образом высказывается об учении ЛФШ и В. М. Алпатов:,лфш,posessor,5.0
2832,"Фонема для Ленинградской школы — класс близких по физическим свойствам звуков; например, оба гласных в русском вода для этой школы — разновидности фонемы a.",фонема,subj_with_properties,0.0
2833,"Фонема для Ленинградской школы — класс близких по физическим свойствам звуков; например, оба гласных в русском вода для этой школы — разновидности фонемы a.",школа,benefactive,3.0
2834,"Фонема для Ленинградской школы — класс близких по физическим свойствам звуков; например, оба гласных в русском вода для этой школы — разновидности фонемы a.",класс,subj_with_properties,5.0
2835,"Фонема для Ленинградской школы — класс близких по физическим свойствам звуков; например, оба гласных в русском вода для этой школы — разновидности фонемы a.",свойство,theme,9.0
2836,"Фонема для Ленинградской школы — класс близких по физическим свойствам звуков; например, оба гласных в русском вода для этой школы — разновидности фонемы a.",школа,benefactive,3.0
2837,"Фонема для Ленинградской школы — класс близких по физическим свойствам звуков; например, оба гласных в русском вода для этой школы — разновидности фонемы a.",разновидность,subj_with_properties,21.0
2838,"Критерий звукового сходства оказывался решающим для Л. В. Щербы и его учеников, поэтому их противники из Московской школы упрекали их в «физикализме».",критерий,patient,0.0
2839,"Критерий звукового сходства оказывался решающим для Л. В. Щербы и его учеников, поэтому их противники из Московской школы упрекали их в «физикализме».",сходство,theme,2.0
2840,"Критерий звукового сходства оказывался решающим для Л. В. Щербы и его учеников, поэтому их противники из Московской школы упрекали их в «физикализме».",щерба,benefactive,8.0
2841,"Критерий звукового сходства оказывался решающим для Л. В. Щербы и его учеников, поэтому их противники из Московской школы упрекали их в «физикализме».",ученик,benefactive,11.0
2842,"Критерий звукового сходства оказывался решающим для Л. В. Щербы и его учеников, поэтому их противники из Московской школы упрекали их в «физикализме».",противник,agent,14.0
2843,"Критерий звукового сходства оказывался решающим для Л. В. Щербы и его учеников, поэтому их противники из Московской школы упрекали их в «физикализме».",школа,starting_point,17.0
2844,"Сторонники ЛФШ, напротив, подчёркивали, что опираются в первую очередь не на фонетические критерии: «единство оттенков одной фонемы обусловлено не их фонетическим сходством, а невозможностью различать слова и формы слов в данном языке».",сторонник,agent,0.0
2845,"Сторонники ЛФШ, напротив, подчёркивали, что опираются в первую очередь не на фонетические критерии: «единство оттенков одной фонемы обусловлено не их фонетическим сходством, а невозможностью различать слова и формы слов в данном языке».",единство,subj_with_properties,13.0
2846,"Сторонники ЛФШ, напротив, подчёркивали, что опираются в первую очередь не на фонетические критерии: «единство оттенков одной фонемы обусловлено не их фонетическим сходством, а невозможностью различать слова и формы слов в данном языке».",фонема,theme,16.0
2847,"Сторонники ЛФШ, напротив, подчёркивали, что опираются в первую очередь не на фонетические критерии: «единство оттенков одной фонемы обусловлено не их фонетическим сходством, а невозможностью различать слова и формы слов в данном языке».",слово,theme,25.0
2848,"Пейзаж, нарисованный Павичем",пейзаж,patient,0.0
2849,15 октября 1929 года родился Милорад Павич,октябрь,time,1.0
2850,15 октября 1929 года родился Милорад Павич,год,time,3.0
2851,15 октября 1929 года родился Милорад Павич,милорад,agent,5.0
2853,"Сын скульптора и преподавательницы философии, он работал критиком и переводчиком, стал доктором философских наук в области истории литературы в Загребском университете, был преподавателем в Париже, Вене, Фрайбурге, Регенсбурге и Белграде.",сын,subj_with_properties,0.0
2854,"Сын скульптора и преподавательницы философии, он работал критиком и переводчиком, стал доктором философских наук в области истории литературы в Загребском университете, был преподавателем в Париже, Вене, Фрайбурге, Регенсбурге и Белграде.",скульптор,posessor,1.0
2855,"Сын скульптора и преподавательницы философии, он работал критиком и переводчиком, стал доктором философских наук в области истории литературы в Загребском университете, был преподавателем в Париже, Вене, Фрайбурге, Регенсбурге и Белграде.",преподавательница,posessor,3.0
2856,"Сын скульптора и преподавательницы философии, он работал критиком и переводчиком, стал доктором философских наук в области истории литературы в Загребском университете, был преподавателем в Париже, Вене, Фрайбурге, Регенсбурге и Белграде.",философия,theme,4.0
2857,"Сын скульптора и преподавательницы философии, он работал критиком и переводчиком, стал доктором философских наук в области истории литературы в Загребском университете, был преподавателем в Париже, Вене, Фрайбурге, Регенсбурге и Белграде.",он,agent,5.0
2858,"Сын скульптора и преподавательницы философии, он работал критиком и переводчиком, стал доктором философских наук в области истории литературы в Загребском университете, был преподавателем в Париже, Вене, Фрайбурге, Регенсбурге и Белграде.",наука,theme,13.0
2859,"Сын скульптора и преподавательницы философии, он работал критиком и переводчиком, стал доктором философских наук в области истории литературы в Загребском университете, был преподавателем в Париже, Вене, Фрайбурге, Регенсбурге и Белграде.",история,theme,16.0
2860,"Сын скульптора и преподавательницы философии, он работал критиком и переводчиком, стал доктором философских наук в области истории литературы в Загребском университете, был преподавателем в Париже, Вене, Фрайбурге, Регенсбурге и Белграде.",литература,posessor,17.0
2862,Павич начал литературную карьеру с поэзии (первый его сборник вышел в 1967-м).,павич,agent,0.0
2863,Павич начал литературную карьеру с поэзии (первый его сборник вышел в 1967-м).,поэзия,theme,5.0
2864,Павич начал литературную карьеру с поэзии (первый его сборник вышел в 1967-м).,сборник,patient,8.0
2866,"Вот что писал он об этом в автобиографии: «Я был самым нечитаемым писателем своей страны до 1984 года, когда вдруг за один день превратился в самого читаемого».",он,agent,3.0
2867,"Вот что писал он об этом в автобиографии: «Я был самым нечитаемым писателем своей страны до 1984 года, когда вдруг за один день превратился в самого читаемого».",я,subj_with_properties,8.0
2868,"Вот что писал он об этом в автобиографии: «Я был самым нечитаемым писателем своей страны до 1984 года, когда вдруг за один день превратился в самого читаемого».",страна,posessor,14.0
2869,"Вот что писал он об этом в автобиографии: «Я был самым нечитаемым писателем своей страны до 1984 года, когда вдруг за один день превратился в самого читаемого».",год,time,17.0
2870,"Это был год, когда вышел его «Хазарский словарь», который спустя годы назовут «новой «Илиадой» для мира, где главное место заняли компьютеры».",год,subj_with_properties,2.0
2871,"Это был год, когда вышел его «Хазарский словарь», который спустя годы назовут «новой «Илиадой» для мира, где главное место заняли компьютеры».",словарь,patient,7.0
2872,"Это был год, когда вышел его «Хазарский словарь», который спустя годы назовут «новой «Илиадой» для мира, где главное место заняли компьютеры».",который,patient,8.0
2873,"Это был год, когда вышел его «Хазарский словарь», который спустя годы назовут «новой «Илиадой» для мира, где главное место заняли компьютеры».",мир,addressee,15.0
2875,Сейчас гипертекст — это уже нечто очевидное и само собой разумеющееся.,гипертекст,subj_with_properties,1.0
2876,"Новый роман проще разместить в интернете и сразу превратить его в самостоятельный сайт (одна из глав романа Павича «Ящик для письменных принадлежностей», кстати, только в Сети и существует).",роман,posessor,1.0
2877,"Новый роман проще разместить в интернете и сразу превратить его в самостоятельный сайт (одна из глав романа Павича «Ящик для письменных принадлежностей», кстати, только в Сети и существует).",ящик,subj_with_properties,18.0
2878,"Новый роман проще разместить в интернете и сразу превратить его в самостоятельный сайт (одна из глав романа Павича «Ящик для письменных принадлежностей», кстати, только в Сети и существует).",принадлежность,goal,21.0
2879,"Однако в 80-х книга, которую читатель может изучать как пожелает (помня при этом, что от него во многом зависит, какой сюжет он получит в итоге), была для многих откровением.",книга,subj_with_properties,3.0
2880,"Однако в 80-х книга, которую читатель может изучать как пожелает (помня при этом, что от него во многом зависит, какой сюжет он получит в итоге), была для многих откровением.",читатель,agent,5.0
2881,"Однако в 80-х книга, которую читатель может изучать как пожелает (помня при этом, что от него во многом зависит, какой сюжет он получит в итоге), была для многих откровением.",он,agent,15.0
2883,А мужскую и женскую его версии (отличающиеся ровно на один абзац) до сих пор дарят друг другу влюблённые пары.,пора,time,13.0
2884,А мужскую и женскую его версии (отличающиеся ровно на один абзац) до сих пор дарят друг другу влюблённые пары.,друг,recipient,15.0
2886,"«Я всегда хотел превратить литературу, необратимое искусство, в обратимое.",я,agent,0.0
2887,"Поэтому мои книги не имеют ни начала, ни конца в классическом понимании этого слова»,",книга,subj_with_properties,2.0
2889,— писал Павич в программном тексте «Начало и конец романа».,павич,agent,2.0
2890,— писал Павич в программном тексте «Начало и конец романа».,начало,subj_with_properties,6.0
2891,— писал Павич в программном тексте «Начало и конец романа».,конец,subj_with_properties,8.0
2893,"Его произведения — это наглядное пособие по постмодерну: аллюзии и семиотическая избыточность, эклектика, гипертекстуальность, форма как идея произведения…",произведение,subj_with_properties,1.0
2895,"Его произведения — это наглядное пособие по постмодерну: аллюзии и семиотическая избыточность, эклектика, гипертекстуальность, форма как идея произведения…",аллюзия,subj_with_properties,8.0
2896,"Его произведения — это наглядное пособие по постмодерну: аллюзии и семиотическая избыточность, эклектика, гипертекстуальность, форма как идея произведения…",избыточность,subj_with_properties,11.0
2897,"Его произведения — это наглядное пособие по постмодерну: аллюзии и семиотическая избыточность, эклектика, гипертекстуальность, форма как идея произведения…",эклектика,subj_with_properties,12.0
2898,"Его произведения — это наглядное пособие по постмодерну: аллюзии и семиотическая избыточность, эклектика, гипертекстуальность, форма как идея произведения…",гипертекстуальность,subj_with_properties,13.0
2899,"Его произведения — это наглядное пособие по постмодерну: аллюзии и семиотическая избыточность, эклектика, гипертекстуальность, форма как идея произведения…",форма,subj_with_properties,14.0
2900,"Его произведения — это наглядное пособие по постмодерну: аллюзии и семиотическая избыточность, эклектика, гипертекстуальность, форма как идея произведения…",произведение,posessor,1.0
2901,"Ещё ранние сборники его рассказов 1970-х годов местные критики сравнивали с компьютерными играми: вопросы ставились в одних новеллах, ответы появлялись в других.",рассказ,posessor,4.0
2902,"Ещё ранние сборники его рассказов 1970-х годов местные критики сравнивали с компьютерными играми: вопросы ставились в одних новеллах, ответы появлялись в других.",год,time,6.0
2903,"Ещё ранние сборники его рассказов 1970-х годов местные критики сравнивали с компьютерными играми: вопросы ставились в одних новеллах, ответы появлялись в других.",критик,agent,8.0
2904,"Ещё ранние сборники его рассказов 1970-х годов местные критики сравнивали с компьютерными играми: вопросы ставились в одних новеллах, ответы появлялись в других.",вопрос,patient,13.0
2905,"Ещё ранние сборники его рассказов 1970-х годов местные критики сравнивали с компьютерными играми: вопросы ставились в одних новеллах, ответы появлялись в других.",ответ,patient,18.0
2906,"А далее были роман-энциклопедия, роман-кроссворд, роман-клепсидра, роман-справочник, роман на основе карт Таро, сборник пародий на писателей из всех стран, что его издают.",роман,subj_with_properties,7.0
2908,"А далее были роман-энциклопедия, роман-кроссворд, роман-клепсидра, роман-справочник, роман на основе карт Таро, сборник пародий на писателей из всех стран, что его издают.",роман,subj_with_properties,7.0
2910,"А далее были роман-энциклопедия, роман-кроссворд, роман-клепсидра, роман-справочник, роман на основе карт Таро, сборник пародий на писателей из всех стран, что его издают.",роман,subj_with_properties,7.0
2912,"А далее были роман-энциклопедия, роман-кроссворд, роман-клепсидра, роман-справочник, роман на основе карт Таро, сборник пародий на писателей из всех стран, что его издают.",роман,subj_with_properties,7.0
2914,"А далее были роман-энциклопедия, роман-кроссворд, роман-клепсидра, роман-справочник, роман на основе карт Таро, сборник пародий на писателей из всех стран, что его издают.",роман,subj_with_properties,7.0
2915,"А далее были роман-энциклопедия, роман-кроссворд, роман-клепсидра, роман-справочник, роман на основе карт Таро, сборник пародий на писателей из всех стран, что его издают.",таро,content,11.0
2916,"А далее были роман-энциклопедия, роман-кроссворд, роман-клепсидра, роман-справочник, роман на основе карт Таро, сборник пародий на писателей из всех стран, что его издают.",пародия,content,13.0
2917,"А далее были роман-энциклопедия, роман-кроссворд, роман-клепсидра, роман-справочник, роман на основе карт Таро, сборник пародий на писателей из всех стран, что его издают.",он,patient,20.0
2918,"И у читателя не возникало ощущения, что всё это чересчур.",читатель,posessor,2.0
2919,"И у читателя не возникало ощущения, что всё это чересчур.",ощущение,subj_with_properties,5.0
2920,"И жди, что ещё там придумает автор, который не любил повторяться.",автор,agent,6.0
2921,"И жди, что ещё там придумает автор, который не любил повторяться.",который,subj_with_properties,7.0
2922,"«Кроме того, книгу эту вовсе не обязательно читать целиком, можно прочесть лишь половину или какую-нибудь часть и на этом остановиться, что, кстати, всегда и бывает со словарями», — писал Павич в «Хазарском речнике» (так в оригинале называется «Хазарский словарь»). ",павич,agent,29.0
