sentence,role,idx_target,raw_target,idx_head,raw_head
"Со времён Л. В. Щербы последователи ЛФШ принимают участие в деятельности основанной им Лаборатории экспериментальной фонетики при филологическом факультете СПбГУ, ныне носящей имя основателя.",agent,22-35,последователи,40-49,принимают
"Первым мысль о несовпадении физической природы звуков с их значением в «чутье народа» и системе языка высказал И. А. Бодуэн де Куртенэ: согласно идеям Бодуэна, изложенным им в 1870 году в работе «О древнепольском языке до XIV столетия», оглушение согласных на конце слова в славянских языках имеет физиологическую природу, в то время как психологически они остаются звонкими.",patient,7-12,мысль,102-110,высказал
"Первым мысль о несовпадении физической природы звуков с их значением в «чутье народа» и системе языка высказал И. А. Бодуэн де Куртенэ: согласно идеям Бодуэна, изложенным им в 1870 году в работе «О древнепольском языке до XIV столетия», оглушение согласных на конце слова в славянских языках имеет физиологическую природу, в то время как психологически они остаются звонкими.",theme,39-46,природы,292-297,имеет
"Ученик Бодуэна Н. В. Крушевский, развивая взгляды учителя, предложил термин «фонема» для нефизиологического аспекта звуков речи.",agent,0-6,Ученик,59-68,предложил
"По сходному пути пошёл и сам И. А. Бодуэн де Куртенэ в работе «Некоторые отделы сравнительной грамматики славянских языков», увидевшей свет в 1881 году.",place,12-16,пути,17-22,пошёл
"В дальнейшем Бодуэн оставался на психологических позициях, что отражено в определении фонемы как представления звука, данном им во «Введении в языковедение», в последний раз изданном при жизни автора в 1917 году.",agent,13-19,Бодуэн,20-29,оставался
"В то же время Бодуэн полагал, что при живых чередованиях в пределах морфемы тождество фонемы сохраняется: в русск. везу — вёз, несмотря на оглушение согласного, выступает одна и та же фонема з (однако, по мнению Бодуэна, в мышлении некоторых носителей русского языка в вёз фонема с, возможно, уже обособилась от з в везу).",time,8-13,время,21-28,полагал
"В то же время Бодуэн полагал, что при живых чередованиях в пределах морфемы тождество фонемы сохраняется: в русск. везу — вёз, несмотря на оглушение согласного, выступает одна и та же фонема з (однако, по мнению Бодуэна, в мышлении некоторых носителей русского языка в вёз фонема с, возможно, уже обособилась от з в везу).",agent,14-20,Бодуэн,21-28,полагал
"В то же время Бодуэн полагал, что при живых чередованиях в пределах морфемы тождество фонемы сохраняется: в русск. везу — вёз, несмотря на оглушение согласного, выступает одна и та же фонема з (однако, по мнению Бодуэна, в мышлении некоторых носителей русского языка в вёз фонема с, возможно, уже обособилась от з в везу).",patient,76-85,тождество,93-104,сохраняется
"В то же время Бодуэн полагал, что при живых чередованиях в пределах морфемы тождество фонемы сохраняется: в русск. везу — вёз, несмотря на оглушение согласного, выступает одна и та же фонема з (однако, по мнению Бодуэна, в мышлении некоторых носителей русского языка в вёз фонема с, возможно, уже обособилась от з в везу).",agent,86-92,фонемы,297-308,обособилась
"Начиная с четвёртого издания «Введения в языковедение», в данном пособии содержится мысль о способности звуков к различению слов, то есть к смыслоразличению.",patient,84-89,мысль,73-83,содержится
"Однако речь у И. А. Бодуэна де Куртенэ идёт лишь об использовании для смыслоразличения отдельных признаков звуковых единиц, таких как глухость — звонкость согласных (ср. русск. там — дам).",causator,7-11,речь,39-43,идёт
"Понятие оттенка соответствует бодуэновскому понятию зародышевого дивергента — дивергента, возникающего под действием фонетических факторов и рассматриваемого вне связи со значением и рамок какой-либо морфемы (таковыми являются, к примеру, разновидности a в сочетаниях pa, ta, ka, зависящие от особенностей артикуляции предшествующего согласного).",causator,0-7,Понятие,16-29,соответствует
"Понятие оттенка соответствует бодуэновскому понятию зародышевого дивергента — дивергента, возникающего под действием фонетических факторов и рассматриваемого вне связи со значением и рамок какой-либо морфемы (таковыми являются, к примеру, разновидности a в сочетаниях pa, ta, ka, зависящие от особенностей артикуляции предшествующего согласного).",theme,0-7,Понятие,16-29,соответствует
"Впервые противопоставление фонемы и оттенка встречается у Л. В. Щербы в работе 1911 года «Court exposé de la prononciation russe», однако детально данное учение было развито автором в магистерской диссертации «Русские гласные в количественном и качественном отношении», вышедшей в свет в 1912 году.",causator,8-26,противопоставление,166-173,развито
"Впервые противопоставление фонемы и оттенка встречается у Л. В. Щербы в работе 1911 года «Court exposé de la prononciation russe», однако детально данное учение было развито автором в магистерской диссертации «Русские гласные в количественном и качественном отношении», вышедшей в свет в 1912 году.",patient,154-160,учение,166-173,развито
"В книге «Фонетика французского языка», вышедшей в 1938 году, Л. В. Щерба отошёл от психологизма и уточнил некоторые положения теории, изложенной в «Русских гласных…», в частности, разъяснил введённое ещё в 1912 году понятие типичного оттенка, однозначно показав соотношение фонемы и оттенка как общего и частного во избежание ошибочного представления о том, что в языке существуют две категории звуков: фонемы (неверно трактуемые как типичные оттенки) и оттенки фонем.",place,83-95,психологизма,73-79,отошёл
"Фонологическая теория Л. В. Щербы нашла поддержку у ленинградских и петербургских языковедов следующих поколений: Л. Р. Зиндера, Л. В. Бондарко, М. В. Гординой, Л. А. Вербицкой и других, — что неоднократно отмечалось в их работах.",agent,15-21,теория,34-39,нашла
"Представитель другой лингвистической школы — Пражского лингвистического кружка — Н. С. Трубецкой в книге «Основы фонологии», прежде чем дать определение фонемы как совокупности фонологически существенных признаков, высказывает соображение о том, что фонема является кратчайшей смыслоразличительной единицей, и при этом ссылается на определение фонемы как «кратчайшего общего фонетического представления, способного ассоциироваться со смысловыми представлениями и дифференцировать слова», данное Л. В. Щербой в «Русских гласных…».",agent,0-13,Представитель,215-226,высказывает
"В связи с этим сторонники ЛФШ отмечают, что положение о смыслоразличительной функции фонемы было заимствовано структуралистами у Л. В. Щербы.",experiencer,15-25,сторонники,30-38,отмечают
"В связи с этим сторонники ЛФШ отмечают, что положение о смыслоразличительной функции фонемы было заимствовано структуралистами у Л. В. Щербы.",causator,44-53,положение,97-109,заимствовано
Представитель МФШ А. А. Реформатский предложил рассматривать ряд фонологических концепций как попытки синтеза учений ЛФШ и МФШ.,agent,0-13,Представитель,37-46,предложил
"Первой из них является теория С. И. Бернштейна, сформировавшаяся в 1930-х годах и опубликованная в 1962 году; С. И. Бернштейн сам считал свою концепцию синтетической.",causator,23-29,теория,14-22,является
"Первой из них является теория С. И. Бернштейна, сформировавшаяся в 1930-х годах и опубликованная в 1962 году; С. И. Бернштейн сам считал свою концепцию синтетической.",experiencer,36-46,Бернштейна,0-6,Первой
"В данной теории выделяются фонемы и чередования трёх степеней, причём фонема 1-й степени сближается с фонемой ЛФШ, фонема 2-й степени соответствует фонеме И. А. Бодуэна де Куртенэ, а фонема 3-й степени соответствует морфонеме.",patient,27-33,фонемы,89-99,сближается
"В данной теории выделяются фонемы и чередования трёх степеней, причём фонема 1-й степени сближается с фонемой ЛФШ, фонема 2-й степени соответствует фонеме И. А. Бодуэна де Куртенэ, а фонема 3-й степени соответствует морфонеме.",patient,27-33,фонемы,89-99,сближается
"В 1955 году была опубликована статья одного из создателей МФШ Р. И. Аванесова «Кратчайшая звуковая единица в составе слова и морфемы», вошедшая в качестве главы в изданную годом позднее книгу «Фонетика современного русского литературного языка».",patient,30-36,статья,17-29,опубликована
"В статье и книге излагается фонологическая концепция Р. И. Аванесова, созданная с целью синтеза МФШ и ЛФШ, что, впрочем, отрицалось самим автором.",patient,43-52,концепция,17-27,излагается
"Сторонники ЛФШ полагают, что задача теории фонемы состоит в объяснении того факта, что одни звуковые различия замечаются говорящими и оцениваются ими как существенные, а другие, не меньшие с фонетической точки зрения, обычно не замечаются носителями языка.",experiencer,0-10,Сторонники,15-23,полагают
"Сторонники ЛФШ полагают, что задача теории фонемы состоит в объяснении того факта, что одни звуковые различия замечаются говорящими и оцениваются ими как существенные, а другие, не меньшие с фонетической точки зрения, обычно не замечаются носителями языка.",causator,29-35,задача,50-57,состоит
"Сторонники ЛФШ полагают, что задача теории фонемы состоит в объяснении того факта, что одни звуковые различия замечаются говорящими и оцениваются ими как существенные, а другие, не меньшие с фонетической точки зрения, обычно не замечаются носителями языка.",patient,101-109,различия,50-57,состоит
"Фонема в ЛФШ определяется как кратчайшая (неделимая во времени) звуковая единица данного языка, способная быть в нём единственным средством различения означающих морфем и слов.",causator,73-80,единица,13-25,определяется
"Определение фонемы как способной к смыслоразличению позволяет признать различными фонемами единицы, не образующие минимальной пары, однако выступающие в тождественных фонетических позициях.",causator,0-11,Определение,52-61,позволяет
"Представители ЛФШ понимают фонему как «целостный артикуляционно-слуховой образ», поэтому дифференциальные признаки фонем мыслятся не как компоненты фонем (что присуще фонологической концепции Н. С. Трубецкого), а как классификационные средства для описания системы фонем.",agent,0-13,Представители,18-26,понимают
"Ленинградские фонологи не склонны отождествлять дифференциальные признаки (ДП) с фонетическими свойствами фонем, считая ДП абстракцией, неодинаково проявляющейся фонетически в случае разных фонем, и указывают на важность для опознания слов на слух и недифференциальных (интегральных) признаков составляющих его фонем: например, по Л. Р. Зиндеру, произнесение русск. она с заднеязычным [ŋ] затруднило бы опознание данного слова, хотя переднеязычная артикуляция не является ДП для произносимого здесь в нормальном случае [n].",causator,14-22,фонологи,26-33,склонны
"Ленинградские фонологи не склонны отождествлять дифференциальные признаки (ДП) с фонетическими свойствами фонем, считая ДП абстракцией, неодинаково проявляющейся фонетически в случае разных фонем, и указывают на важность для опознания слов на слух и недифференциальных (интегральных) признаков составляющих его фонем: например, по Л. Р. Зиндеру, произнесение русск. она с заднеязычным [ŋ] затруднило бы опознание данного слова, хотя переднеязычная артикуляция не является ДП для произносимого здесь в нормальном случае [n].",goal,225-234,опознания,26-33,склонны
"Ленинградские фонологи не склонны отождествлять дифференциальные признаки (ДП) с фонетическими свойствами фонем, считая ДП абстракцией, неодинаково проявляющейся фонетически в случае разных фонем, и указывают на важность для опознания слов на слух и недифференциальных (интегральных) признаков составляющих его фонем: например, по Л. Р. Зиндеру, произнесение русск. она с заднеязычным [ŋ] затруднило бы опознание данного слова, хотя переднеязычная артикуляция не является ДП для произносимого здесь в нормальном случае [n].",patient,225-234,опознания,26-33,склонны
"Ленинградские фонологи не склонны отождествлять дифференциальные признаки (ДП) с фонетическими свойствами фонем, считая ДП абстракцией, неодинаково проявляющейся фонетически в случае разных фонем, и указывают на важность для опознания слов на слух и недифференциальных (интегральных) признаков составляющих его фонем: например, по Л. Р. Зиндеру, произнесение русск. она с заднеязычным [ŋ] затруднило бы опознание данного слова, хотя переднеязычная артикуляция не является ДП для произносимого здесь в нормальном случае [n].",causator,448-459,артикуляция,389-399,затруднило
"Согласно учению ЛФШ, различные звуки, представляющие одну фонему, должны встречаться в неодинаковых фонетических условиях, то есть находиться в дополнительной дистрибуции.",causator,31-36,звуки,66-72,должны
Однозначное отождествление звуковой единицы с той или иной фонемой признаётся в ЛФШ возможным в любой позиции.,patient,12-26,отождествление,67-77,признаётся
"Специфические единицы слабых позиций, где однозначное отождествление было бы невозможным вследствие нейтрализации, наподобие архифонем Н. С. Трубецкого или гиперфонем МФШ не признаются, причём «состав фонем каждого данного слова определяется безотносительно к составу фонем других слов, в том числе и других форм того же слова»; значение для определения фонемного состава слова имеет лишь его звуковой облик.",causator,14-21,единицы,229-241,определяется
"Специфические единицы слабых позиций, где однозначное отождествление было бы невозможным вследствие нейтрализации, наподобие архифонем Н. С. Трубецкого или гиперфонем МФШ не признаются, причём «состав фонем каждого данного слова определяется безотносительно к составу фонем других слов, в том числе и других форм того же слова»; значение для определения фонемного состава слова имеет лишь его звуковой облик.",patient,54-68,отождествление,77-88,невозможным
"Специфические единицы слабых позиций, где однозначное отождествление было бы невозможным вследствие нейтрализации, наподобие архифонем Н. С. Трубецкого или гиперфонем МФШ не признаются, причём «состав фонем каждого данного слова определяется безотносительно к составу фонем других слов, в том числе и других форм того же слова»; значение для определения фонемного состава слова имеет лишь его звуковой облик.",posessor,167-170,МФШ,174-184,признаются
"Отождествление звуковой единицы с той или иной фонемой осуществляется посредством соотнесения дифференциальных признаков наблюдаемой единицы с дифференциальными признаками фонем языка; так, конечный [k] в русск. рог относится к фонеме /k/, несмотря на чередование с [g] (рога), поскольку обладает теми же дифференциальными признаками, что и фонема /k/.",agent,0-14,Отождествление,55-69,осуществляется
"Другим примером решения, продиктованного таким подходом, может служить трактовка редуцированных гласных в русском языке.",causator,71-80,трактовка,57-62,может
"В ЛФШ они «возводятся к ближайшим по фонетическому качеству фонемным эталонам»: [ъ] и [ʌ] считаются аллофонами фонемы /a/ (у А. Н. Гвоздева и И. В. Лыткина — /ы/), [ь] — представителем фонемы /i/.",patient,6-9,они,11-21,возводятся
"В ЛФШ они «возводятся к ближайшим по фонетическому качеству фонемным эталонам»: [ъ] и [ʌ] считаются аллофонами фонемы /a/ (у А. Н. Гвоздева и И. В. Лыткина — /ы/), [ь] — представителем фонемы /i/.",patient,51-59,качеству,11-21,возводятся
Сторонниками ЛФШ выделяются следующие функции фонемы:,patient,38-45,функции,17-27,выделяются
"Фонема также может выполнять разграничительную функцию, что наблюдается в языках, в которых некоторые фонемы употребляются исключительно на границах значащих единиц.",causator,0-6,Фонема,13-18,может
"Фонема также может выполнять разграничительную функцию, что наблюдается в языках, в которых некоторые фонемы употребляются исключительно на границах значащих единиц.",patient,0-6,Фонема,13-18,может
Фонема реализуется в речи неодинаково.,causator,0-6,Фонема,7-18,реализуется
"Среди возможных реализаций фонемы сторонники ЛФШ различают обязательные аллофоны, называемые также оттенками или вариантами, факультативные варианты и индивидуальные варианты.",agent,34-44,сторонники,49-58,различают
"Обязательные варианты характеризуются тем, что каждый из них в соответствующей фонетической позиции строго обязателен, что означает, что в естественном для данного языка произношении замена его другим невозможна и воспринималась бы как иностранный акцент.",causator,13-21,варианты,22-37,характеризуются
"Однако для называния фонемы используется так называемый основной аллофон, считающийся самым типичным представителем данной фонемы.",patient,65-72,аллофон,28-40,используется
"Согласно Л. В. Щербе, типичным является аллофон, наименее зависимый от окружающих условий, что наблюдается в изолированной позиции (если она возможна, как в случае гласных русского языка) или, в случае невозможности изолированного произнесения, в сочетании со звуками, не приводящими к комбинаторным изменениям.",causator,40-47,аллофон,31-39,является
"Так, для согласного [d] основным аллофоном считается тот, в котором данный согласный выступает в сочетании с гласным [а].",agent,53-56,тот,43-52,считается
Прочие обязательные аллофоны называются специфическими.,theme,20-28,аллофоны,29-39,называются
Среди специфических аллофонов выделяются комбинаторные и позиционные.,theme,20-29,аллофонов,30-40,выделяются
"Комбинаторные аллофоны возникают под воздействием соседних звуков; в русском языке таковы лабиализованные аллофоны согласных фонем, выступающие в позициях перед [u] и [o], ср. русск. тот [t°ót].",agent,14-22,аллофоны,23-32,возникают
"Комбинаторные аллофоны возникают под воздействием соседних звуков; в русском языке таковы лабиализованные аллофоны согласных фонем, выступающие в позициях перед [u] и [o], ср. русск. тот [t°ót].",causator,37-49,воздействием,23-32,возникают
"Выбор позиционного аллофона диктуется позицией — положением фонемы в слове (например, в русском языке смычные взрывные шумные согласные на конце слова реализуются как сильно придыхательные, ср. русск. вот [vótʰ]) или влиянием ударения (в русском языке в первом предударном слоге фонема /a/ реализуется в аллофоне [ʌ]).",causator,0-5,Выбор,151-162,реализуются
"Выбор позиционного аллофона диктуется позицией — положением фонемы в слове (например, в русском языке смычные взрывные шумные согласные на конце слова реализуются как сильно придыхательные, ср. русск. вот [vótʰ]) или влиянием ударения (в русском языке в первом предударном слоге фонема /a/ реализуется в аллофоне [ʌ]).",theme,19-27,аллофона,290-301,реализуется
"Фактически каждый аллофон зависит и от комбинаторных, и от позиционных условий.",causator,18-25,аллофон,26-33,зависит
"Факультативные варианты (или свободное варьирование фонемы) имеют место, когда в любом слове, где данная фонема встречается в некоторой определённой позиции, она может иметь несколько вариантов реализации; таким образом, различие факультативных вариантов не связано с различием фонетических позиций.",causator,15-23,варианты,60-65,имеют
"Факультативные варианты (или свободное варьирование фонемы) имеют место, когда в любом слове, где данная фонема встречается в некоторой определённой позиции, она может иметь несколько вариантов реализации; таким образом, различие факультативных вариантов не связано с различием фонетических позиций.",causator,158-161,она,162-167,может
"Факультативные варианты (или свободное варьирование фонемы) имеют место, когда в любом слове, где данная фонема встречается в некоторой определённой позиции, она может иметь несколько вариантов реализации; таким образом, различие факультативных вариантов не связано с различием фонетических позиций.",patient,15-23,варианты,60-65,имеют
"Факультативные варианты (или свободное варьирование фонемы) имеют место, когда в любом слове, где данная фонема встречается в некоторой определённой позиции, она может иметь несколько вариантов реализации; таким образом, различие факультативных вариантов не связано с различием фонетических позиций.",patient,221-229,различие,258-265,связано
"Факультативные варианты (или свободное варьирование фонемы) имеют место, когда в любом слове, где данная фонема встречается в некоторой определённой позиции, она может иметь несколько вариантов реализации; таким образом, различие факультативных вариантов не связано с различием фонетических позиций.",theme,15-23,варианты,60-65,имеют
"Примером свободного варьирования являются различные реализации фонемы /r/ в немецком языке, которая в любой позиции может выступать как переднеязычный [r] или как увулярный [ʀ].",theme,20-32,варьирования,0-8,Примером
"Индивидуальный вариант отличается от факультативного тем, что обусловлен индивидуальными особенностями говорящих, а не системой фонетических правил языка; в случае, если индивидуальный вариант получает широкое распространение среди говорящих, он может перейти в разряд факультативных.",patient,15-22,вариант,23-33,отличается
"Примером чередования такого рода может служить пара русск. погода [-dʌ] — погоду [-d°u], где во первом случае выступает неогубленный, а во втором — огубленный аллофон фонемы /d/.",theme,9-20,чередования,0-8,Примером
"Примером чередования такого рода может служить пара русск. погода [-dʌ] — погоду [-d°u], где во первом случае выступает неогубленный, а во втором — огубленный аллофон фонемы /d/.",patient,47-51,пара,33-38,может
"Отличительной особенностью исторических чередований является их обусловленность не фонетическими, а историческими причинами.",agent,64-79,обусловленность,52-60,является
"Более того, фонетическая позиция может оставаться неизменной: в русск. погоды [-dы] — погожий [-žы] оба альтернанта (члена чередования) находятся в позиции перед гласным [ы].",causator,25-32,позиция,33-38,может
"Таким образом, в случае исторических чередований происходит взаимная мена разных фонем, а не аллофонов одной фонемы.",patient,69-73,мена,49-59,происходит
"Будучи необъяснимыми с синхронной точки зрения, такие чередования относятся к сфере традиции.",causator,54-65,чередования,66-75,относятся
"Будучи необъяснимыми с синхронной точки зрения, такие чередования относятся к сфере традиции.",patient,78-83,сфере,66-75,относятся
"При этом фонетически обусловленным является лишь тот альтернант, который выступает в слабой позиции (в позиции нейтрализации), поскольку в сильной позиции могут выступать оба альтернанта (ср. погода — охота в позиции перед [ʌ]).",patient,53-63,альтернант,35-43,является
"Таким образом, нейтрализация рассматривается приверженцами ЛФШ как позиционное ограничение употребления тех или иных фонем, которое приводит к мене фонемы, не встречающейся в некоторой позиции, на способную встречаться в ней.",patient,15-28,нейтрализация,29-44,рассматривается
"Таким образом, нейтрализация рассматривается приверженцами ЛФШ как позиционное ограничение употребления тех или иных фонем, которое приводит к мене фонемы, не встречающейся в некоторой позиции, на способную встречаться в ней.",posessor,59-62,ЛФШ,45-58,приверженцами
"Сама же возможность различения фонем, согласно ленинградскому фонологу Л. Р. Зиндеру, хотя и не используется, всё же не утрачивается, что доказывается иногда практикуемым при диктовке «побуквенным» произнесением слов, например пробег /prob’eg/ при нормальном /prab’ek/.",patient,8-19,возможность,120-132,утрачивается
"Сама же возможность различения фонем, согласно ленинградскому фонологу Л. Р. Зиндеру, хотя и не используется, всё же не утрачивается, что доказывается иногда практикуемым при диктовке «побуквенным» произнесением слов, например пробег /prob’eg/ при нормальном /prab’ek/.",agent,62-70,фонологу,120-132,утрачивается
"Такая точка зрения отличается от решений, предлагаемых иными фонологическими школами: Н. С. Трубецкой усматривает необходимость говорить об архифонеме — особой единице, представляющей собой совокупность дифференциальных признаков, общих для нейтрализовавшихся фонем.",patient,6-11,точка,19-29,отличается
"Такая точка зрения отличается от решений, предлагаемых иными фонологическими школами: Н. С. Трубецкой усматривает необходимость говорить об архифонеме — особой единице, представляющей собой совокупность дифференциальных признаков, общих для нейтрализовавшихся фонем.",patient,114-127,необходимость,102-113,усматривает
"Московская фонологическая школа вводит понятие гиперфонемы как единицы, выступающей лишь в тех случаях нейтрализации, для которых невозможно подобрать сильную позицию, то есть в изолированных слабых позициях, в частности в русск. сто (в фонемной транскрипции московских фонологов — <{с/з}то>), баран (<б{а/о}ран>).",agent,26-31,школа,32-38,вводит
"В неизолированных (соотносительных) позициях нейтрализации, согласно МФШ, выступает та же фонема, что и в соответствующей сильной позиции.",theme,45-58,нейтрализации,74-83,выступает
"В неизолированных (соотносительных) позициях нейтрализации, согласно МФШ, выступает та же фонема, что и в соответствующей сильной позиции.",agent,90-96,фонема,74-83,выступает
"В фонематической транскрипции ЛФШ, как и в других фонемных транскрипциях, фонема обозначается одни и тем же знаком, вне зависимости от её варьирования.",patient,74-80,фонема,81-93,обозначается
Знаки фонематической транскрипции в ЛФШ заключаются в косые скобки.,causator,0-5,Знаки,40-51,заключаются
"Отмечается, что система записи, близкая к фонемной транскрипции ЛФШ, может быть весьма удобной при практической записи текстов на бесписьменных языках, поскольку позволяет избежать избыточной фонетической детализации, свойственной фонетической транскрипции, и не связана непосредственно с той или иной надстраиваемой над текстом фонологической теорией, которая ориентировалась бы на тождество фонемного состава морфемы (как это принято в Московской фонологической школе) или систему оппозиций (как в фонологической концепции Н. С. Трубецкого).",causator,16-23,система,69-74,может
"Подобная транскрипция легко усваивается носителями бесписьменных языков, что свидетельствует о её психологической адекватности.",patient,9-21,транскрипция,28-39,усваивается
